Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68187592cb155e2937a14e87,67e8891f804abbe65ff993ad,RETURNED,Not Applicable,2025-05-05T08:23:51.389000Z,,,,,,1355,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6818818d6cee253137fbad2e,67f128cbba790167d00275fc,RETURNED,Not Applicable,2025-05-05T09:16:03.734000Z,,,,,,489,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68188e74daa66a0223a727b0,67f10e19e5d3359e59ecb81e,RETURNED,Not Applicable,2025-05-05T10:10:05.843000Z,,,,,,523,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681890cc7449290edd8743fe,632c673f8b99c86ac2fba537,RETURNED,Not Applicable,2025-05-05T10:19:59.051000Z,,,,,,2671,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68189106fd784feaf05f0dc8,60f7c71d1cffec381351b0b3,RETURNED,Not Applicable,2025-05-05T10:21:03.797000Z,,,,,,449,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681895bb0f1c62e78ba40b56,679334a846e22adcedd4cfd0,RETURNED,Not Applicable,2025-05-05T10:47:06.484000Z,,,,,,1056,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68189a6e2ad22b10180cb84b,668db53941089bfc00f57625,RETURNED,Not Applicable,2025-05-05T11:01:11.906000Z,,,,,,770,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68189e80e176e3de3b18e171,613dd5fb512aabe8d5d32393,RETURNED,Not Applicable,2025-05-05T11:18:29.681000Z,,,,,,3646,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6818a3358b546505d79f17d7,6737a722f41a6eaf3cdbb869,RETURNED,Not Applicable,2025-05-05T11:38:38.079000Z,,,,,,864,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6818a59ec1f0d86fa8796132,60a20fe12b9e81696b6c08ab,RETURNED,Not Applicable,2025-05-05T11:48:46.979000Z,,,,,,82,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
